"scenario","year","tas","tas_30yr"
"ssp126",1999,8.48193459706766,7.87247098121899
"ssp126",2000,8.77231179325961,7.9284315803422
"ssp126",2001,9.33890539718003,7.99709686967671
"ssp126",2002,8.12793671072348,7.98803172156845
"ssp126",2003,7.90155204877464,7.96369483091669
"ssp126",2004,9.09229889749832,7.9895151806223
"ssp126",2005,8.2929872277665,7.99800869361637
"ssp126",2006,8.52064936389664,8.02953432415277
"ssp126",2007,9.11840092907215,8.08345798171378
"ssp126",2008,10.3448929750203,8.18484814615474
"ssp126",2009,9.19209853916954,8.26065369037652
"ssp126",2010,8.91116692529968,8.28991257493238
"ssp126",2011,9.07924879936325,8.34511389061624
"ssp126",2012,8.81673275473342,8.3818127222559
"ssp126",2013,9.8146261972924,8.40810881912733
"ssp126",2014,8.30796057296128,8.42917382326987
"ssp126",2014,6.12856089525654,8.3588886565596
"ssp126",2015,8.5260287804075,8.39287257321869
"ssp126",2016,8.57267638753256,8.40581995213869
"ssp126",2017,8.63005790884245,8.43676840246231
"ssp126",2018,8.60138861901515,8.45109995693515
"ssp126",2019,8.74709606465333,8.45712664909722
"ssp126",2020,8.88147898098257,8.50337725857318
"ssp126",2021,8.97583127963299,8.58115141651535
"ssp126",2022,8.87381619235225,8.65292909827669
"ssp126",2023,8.73365886849207,8.69845429280326
"ssp126",2024,8.75035833222821,8.73976973354988
"ssp126",2025,9.07090231291046,8.7438910348587
"ssp126",2026,8.99702347316751,8.74214645440878
"ssp126",2027,8.91613474550426,8.75062388566856
"ssp126",2028,8.92109316491443,8.76526250459678
"ssp126",2029,9.01899981910409,8.7734854387916
"ssp126",2030,8.88843569613556,8.75846978209012
"ssp126",2031,8.97810226917037,8.78680863403835
"ssp126",2032,9.03689546003812,8.8246534144138
"ssp126",2033,9.08585118019994,8.82443849050385
"ssp126",2034,9.19431691083464,8.85448281327279
"ssp126",2035,8.9430272323728,8.86856207555533
"ssp126",2036,8.86599643212362,8.86014859232371
"ssp126",2037,9.07927541646755,8.81796134037195
"ssp126",2038,9.02325360950725,8.81233317604988
